County,2030 Price
Alameda,7.41
Alpine,7.35
Amador,7.18
Butte,7
Calaveras,7.05
Colusa,7.36
Contra Costa,7.47
Del Norte,7.93
El Dorado,7.27
Fresno,7.18
Glenn,7.45
Humboldt,7.9
Imperial,7.09
Inyo,7.73
Kern,7.19
Kings,6.64
Lake,7.27
Lassen,7.14
Los Angeles,7.38
Madera,6.81
Marin,7.49
Mariposa,7.35
Mendocino,6.95
Merced,7.42
Modoc,7.35
Mono,9
Monterey,7.58
Napa,7.45
Nevada,7.56
Orange,7.29
Placer,7.12
Plumas,7.44
Riverside,7.2
Sacramento,7.07
San Benito,7.3
San Bernardino,7.25
San Diego,7.33
San Francisco,7.94
San Joaquin,7.12
San Luis Obispo,7.66
San Mateo,7.65
Santa Barbara,7.39
Santa Clara,7.48
Santa Cruz,7.38
Shasta,7.44
Sierra,7.35
Siskiyou,6.75
Solano,7.26
Sonoma,7.49
Stanislaus,7.01
Sutter,7.28
Tehama,6.9
Trinity,8.15
Tulare,6.95
Tuolumne,6.85
Ventura,7.35
Yolo,7.09
Yuba,7.3