"Total Estimated and Projected Population for California and Counties: July 1, 2010 to July 1, 2060 in 1-year Increments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada County,"98,526","98,390","98,032","97,703","98,291","98,067","98,300","98,433","98,757","99,184","99,548","100,020","100,483","100,958","101,545","102,135","102,786","103,394","104,020","104,690","105,318","106,033","106,701","107,379","108,008","108,496","109,091","109,560","110,032","110,545","111,007","111,419","111,835","112,223","112,633","113,009","113,369","113,824","114,383","114,822","115,407","115,984","116,610","117,320","118,022","118,808","119,639","120,476","121,289","122,231","123,265"
Orange County,"3,014,677","3,048,756","3,083,962","3,110,678","3,138,057","3,162,622","3,179,122","3,200,748","3,220,451","3,240,543","3,260,012","3,278,907","3,297,193","3,315,412","3,333,220","3,350,668","3,368,151","3,385,098","3,402,027","3,418,240","3,433,510","3,448,755","3,463,669","3,477,453","3,490,848","3,503,764","3,515,779","3,527,482","3,538,293","3,548,859","3,558,071","3,566,593","3,574,831","3,582,260","3,588,964","3,595,128","3,600,718","3,605,116","3,609,506","3,613,049","3,615,935","3,617,963","3,619,433","3,620,502","3,621,002","3,621,232","3,620,632","3,620,025","3,618,829","3,617,762","3,616,576"
Placer County,"350,040","355,260","359,578","363,863","367,878","370,973","375,805","381,675","386,706","391,993","397,368","402,875","408,507","414,159","419,777","425,557","431,332","437,132","443,016","448,961","454,801","460,639","466,286","471,930","477,471","482,870","488,352","493,571","498,647","503,557","508,439","513,319","518,040","522,627","527,115","531,442","535,658","539,854","544,153","548,214","552,359","556,562","560,639","564,719","568,981","573,184","577,528","581,811","586,211","590,524","594,978"
Plumas County,"19,982","19,927","19,883","19,769","19,692","19,598","19,535","19,481","19,439","19,401","19,374","19,347","19,317","19,296","19,266","19,241","19,219","19,193","19,146","19,110","19,069","19,029","18,988","18,931","18,864","18,807","18,725","18,651","18,572","18,491","18,413","18,327","18,246","18,154","18,072","17,994","17,924","17,850","17,776","17,708","17,652","17,609","17,577","17,552","17,527","17,520","17,515","17,522","17,535","17,555","17,585"
Riverside County,"2,196,083","2,227,674","2,252,777","2,276,143","2,305,693","2,331,960","2,359,588","2,389,723","2,425,939","2,463,191","2,500,975","2,538,566","2,576,122","2,613,313","2,649,971","2,686,242","2,721,931","2,756,730","2,790,698","2,824,330","2,857,496","2,890,388","2,922,459","2,954,293","2,985,308","3,015,808","3,046,281","3,075,649","3,104,404","3,132,288","3,159,599","3,186,479","3,212,227","3,237,482","3,262,467","3,286,423","3,310,283","3,333,496","3,356,320","3,378,358","3,400,372","3,421,472","3,442,004","3,462,179","3,482,268","3,502,005","3,521,331","3,540,570","3,559,333","3,577,963","3,596,588"
Sacramento County,"1,421,458","1,433,805","1,444,986","1,455,502","1,473,374","1,488,600","1,503,536","1,519,381","1,537,189","1,555,021","1,572,886","1,591,268","1,609,526","1,627,880","1,646,394","1,664,687","1,683,208","1,701,886","1,720,365","1,738,943","1,757,616","1,776,148","1,794,867","1,813,035","1,830,917","1,848,985","1,866,850","1,884,667","1,902,194","1,919,705","1,936,861","1,954,034","1,970,952","1,987,977","2,004,477","2,020,784","2,036,928","2,053,007","2,068,701","2,084,282","2,100,156","2,115,858","2,131,355","2,146,968","2,162,376","2,178,030","2,193,859","2,209,552","2,225,460","2,241,417","2,257,413"
San Benito County,"55,401","55,894","56,333","56,750","57,167","57,587","58,010","58,416","58,938","59,497","60,067","60,668","61,296","61,951","62,602","63,265","63,926","64,605","65,301","65,993","66,693","67,370","68,065","68,751","69,430","70,117","70,789","71,468","72,138","72,794","73,432","74,045","74,649","75,225","75,819","76,396","76,943","77,490","78,028","78,575","79,107","79,640","80,158","80,673","81,189","81,709","82,222","82,753","83,293","83,832","84,370"
San Bernardino County,"2,043,484","2,064,762","2,077,397","2,091,890","2,110,975","2,128,499","2,143,578","2,163,680","2,185,083","2,207,672","2,230,602","2,254,211","2,278,414","2,302,993","2,327,528","2,352,322","2,377,337","2,402,529","2,427,872","2,453,628","2,478,888","2,504,406","2,530,049","2,555,326","2,580,819","2,606,040","2,631,468","2,656,455","2,681,324","2,706,238","2,730,966","2,755,415","2,779,939","2,804,740","2,829,159","2,853,203","2,877,937","2,902,588","2,927,065","2,952,292","2,976,804","3,001,157","3,026,097","3,050,591","3,075,583","3,101,043","3,126,426","3,152,630","3,179,128","3,205,562","3,232,412"
San Diego County,"3,101,036","3,135,522","3,173,442","3,207,852","3,247,475","3,274,141","3,295,816","3,320,108","3,346,155","3,372,342","3,398,672","3,424,350","3,449,506","3,474,173","3,498,207","3,521,600","3,544,385","3,566,855","3,589,032","3,610,195","3,631,155","3,651,310","3,671,394","3,691,365","3,710,551","3,730,053","3,749,357","3,768,194","3,786,630","3,804,618","3,822,756","3,840,607","3,858,183","3,875,465","3,892,267","3,908,854","3,925,759","3,942,568","3,958,596","3,974,182","3,989,654","4,004,786","4,019,456","4,033,874","4,048,456","4,062,123","4,075,912","4,088,831","4,102,335","4,115,887","4,129,358"
San Francisco County,"809,753","820,194","833,120","844,066","854,421","864,783","872,463","880,418","888,817","897,312","905,637","914,070","922,560","930,525","938,569","946,561","954,114","961,399","968,416","975,663","982,639","989,482","996,331","1,002,980","1,009,616","1,016,253","1,022,735","1,029,461","1,035,870","1,042,349","1,048,803","1,055,453","1,061,992","1,068,724","1,075,492","1,082,394","1,089,346","1,096,378","1,103,585","1,111,177","1,118,562","1,126,049","1,133,766","1,141,540","1,149,453","1,157,471","1,165,252","1,172,808","1,180,675","1,188,867","1,197,009"
San Joaquin County,"687,992","694,410","700,638","706,148","717,490","728,110","738,343","749,092","760,173","771,535","782,662","793,737","805,141","816,229","827,571","838,755","849,930","861,050","872,278","883,328","894,330","905,134","915,606","926,153","936,709","947,019","956,982","966,709","976,613","986,210","995,469","1,004,542","1,013,408","1,022,233","1,030,806","1,039,105","1,047,577","1,055,736","1,063,759","1,071,489","1,078,992","1,086,410","1,093,567","1,100,679","1,107,866","1,115,179","1,122,198","1,128,930","1,135,667","1,142,352","1,149,124"
San Luis Obispo County,"269,031","270,324","272,527","273,441","275,999","276,534","278,080","278,532","280,488","282,230","284,126","285,967","287,754","289,529","291,170","292,729","294,258","295,820","297,326","298,722","300,033","301,311","302,504","303,397","304,399","305,177","306,093","306,674","307,193","307,656","308,077","308,426","308,446","308,483","308,374","308,283","308,069","307,774","307,559","307,337","307,134","306,896","306,582","306,354","306,148","305,865","305,754","305,560","305,556","305,576","305,391"
San Mateo County,"720,695","729,429","740,850","749,165","756,866","764,711","768,507","772,900","779,546","785,847","792,271","798,237","803,962","809,517","815,084","820,318","825,476","830,678","835,614","840,286","844,778","849,268","853,482","857,555","861,377","865,466","869,189","873,201","876,880","880,722","884,198","887,430","890,586","893,800","896,862","899,991","902,623","905,329","907,944","910,771","913,131","915,883","918,399","920,860","923,166","925,292","927,545","929,695","931,912","934,007","936,154"
Santa Barbara County,"423,567","425,354","430,318","435,329","440,090","444,491","447,309","450,216","453,733","457,138","460,444","463,703","466,937","470,132","473,138","476,227","479,339","482,317","485,180","488,127","491,023","493,814","496,457","498,873","501,438","503,866","506,228","508,418","510,662","512,707","514,691","516,712","518,541","520,098","521,694","523,118","524,629","525,878","527,311","528,553","529,780","530,848","531,817","532,731","533,626","534,571","535,519","536,365","537,296","538,244","539,036"
Santa Clara County,"1,790,185","1,813,986","1,840,582","1,866,836","1,892,692","1,918,777","1,932,827","1,945,465","1,967,519","1,989,441","2,011,436","2,032,840","2,054,193","2,075,619","2,096,718","2,117,959","2,138,926","2,160,085","2,181,188","2,202,483","2,223,743","2,244,993","2,266,453","2,287,636","2,309,360","2,330,649","2,351,872","2,373,451","2,394,815","2,415,841","2,436,897","2,457,466","2,478,004","2,498,486","2,518,442","2,538,692","2,558,315","2,577,715","2,596,944","2,615,450","2,633,652","2,651,598","2,669,163","2,686,251","2,703,370","2,720,101","2,736,712","2,753,366","2,770,195","2,787,304","2,804,044"
Santa Cruz County,"262,425","265,305","267,826","270,609","271,860","274,563","275,754","276,452","278,495","280,630","282,627","284,627","286,507","288,439","290,425","292,350","294,232","296,081","297,962","299,750","301,494","303,240","304,785","306,382","307,744","309,176","310,688","312,001","313,273","314,412","315,659","316,853","318,001","319,113","320,123","321,115","322,076","322,970","323,882","324,934","325,799","326,766","327,677","328,765","329,768","330,576","331,605","332,652","333,736","334,784","335,767"
Shasta County,"177,125","177,364","177,804","178,537","178,949","178,365","177,631","178,501","178,899","179,402","180,198","180,837","181,792","182,664","183,605","184,526","185,378","186,351","187,197","188,131","188,989","189,846","190,750","191,545","192,375","193,172","194,042","194,679","195,383","196,163","196,798","197,458","198,096","198,646","199,273","199,972","200,581","201,097","201,674","202,364","202,959","203,616","204,312","204,935","205,688","206,386","207,131","207,849","208,620","209,359","210,156"
Sierra County,"3,233","3,216","3,206","3,187","3,161","3,149","3,141","3,133","3,132","3,127","3,129","3,126","3,128","3,128","3,123","3,121","3,114","3,109","3,102","3,096","3,087","3,078","3,069","3,060","3,047","3,037","3,028","3,017","3,006","2,993","2,980","2,972","2,961","2,948","2,935","2,926","2,918","2,910","2,903","2,899","2,894","2,889","2,886","2,881","2,881","2,885","2,885","2,889","2,893","2,898","2,905"
Siskiyou County,"44,862","44,792","44,765","44,652","44,607","44,491","44,373","44,239","44,206","44,185","44,186","44,186","44,203","44,224","44,239","44,266","44,293","44,331","44,347","44,372","44,406","44,429","44,434","44,453","44,449","44,436","44,414","44,389","44,344","44,302","44,253","44,203","44,150","44,093","44,046","44,009","43,984","43,955","43,933","43,921","43,938","43,956","43,993","44,049","44,109","44,204","44,300","44,422","44,560","44,714","44,868"
Solano County,"412,525","414,659","417,480","420,732","425,494","429,272","433,412","437,309","442,796","448,332","453,784","459,191","464,487","469,958","475,379","480,712","486,063","491,498","496,735","502,069","507,219","512,193","517,218","522,247","527,117","531,997","536,626","541,233","545,838","550,259","554,668","559,033","563,177","567,193","571,132","574,952","578,952","582,689","586,499","590,163","593,854","597,552","601,160","604,722","608,439","612,235","616,018","619,605","623,416","627,238","631,028"
Sonoma County,"483,541","486,713","489,576","494,364","497,957","500,919","503,152","503,883","507,490","511,308","515,486","519,418","523,395","527,329","531,347","535,261","539,133","543,131","547,012","550,824","554,694","558,278","561,722","565,083","568,258","571,307","574,095","576,808","579,186","581,429","583,517","585,341","587,113","588,847","590,322","591,973","593,285","594,679","595,801","596,694","597,749","598,860","599,783","600,705","601,612","602,738","603,566","604,697","605,702","607,146","608,250"
Stanislaus County,"515,940","518,957","523,698","527,732","531,588","537,608","543,592","551,557","558,353","565,196","572,000","578,625","585,309","592,117","598,743","605,463","612,310","619,064","625,611","632,362","638,840","645,428","651,791","658,132","664,218","670,288","676,343","682,113","687,714","693,370","699,022","704,381","709,637","714,543","719,580","724,617","729,180","733,792","738,309","742,796","747,188","751,260","755,431","759,585","763,652","767,871","771,968","775,744","779,632","783,454","787,145"
Sutter County,"94,859","95,458","96,048","96,540","97,102","97,617","98,208","98,720","99,528","100,439","101,418","102,365","103,279","104,199","105,300","106,317","107,225","108,184","109,215","110,195","111,151","112,229","113,168","114,035","115,039","116,044","117,008","117,913","118,789","119,698","120,573","121,495","122,504","123,427","124,382","125,257","126,092","126,909","127,819","128,726","129,657","130,595","131,447","132,432","133,366","134,335","135,272","136,286","137,190","138,212","139,177"
Tehama County,"63,505","63,621","63,711","63,731","63,847","63,977","64,158","64,294","64,526","64,804","65,119","65,450","65,798","66,166","66,530","66,937","67,344","67,751","68,152","68,566","68,985","69,394","69,803","70,211","70,605","71,017","71,396","71,757","72,111","72,485","72,840","73,183","73,533","73,878","74,220","74,588","74,958","75,321","75,683","76,082","76,464","76,853","77,241","77,643","78,061","78,474","78,911","79,352","79,799","80,253","80,732"
Trinity County,"13,779","13,733","13,704","13,667","13,613","13,562","13,492","13,455","13,424","13,404","13,389","13,374","13,362","13,345","13,334","13,332","13,329","13,332","13,332","13,328","13,322","13,314","13,309","13,304","13,296","13,279","13,270","13,260","13,246","13,238","13,232","13,229","13,224","13,214","13,210","13,208","13,220","13,232","13,251","13,282","13,319","13,358","13,412","13,473","13,545","13,631","13,721","13,817","13,917","14,033","14,151"
Tulare County,"442,330","447,350","452,000","455,891","459,910","464,337","467,960","472,748","477,679","482,697","487,733","492,839","497,943","503,093","508,160","513,541","518,886","524,286","529,610","535,070","540,580","545,987","551,452","556,966","562,408","567,626","572,933","578,058","583,392","588,637","593,788","598,864","603,552","608,436","612,967","617,356","621,803","626,217","630,540","634,899","638,917","643,084","647,007","651,006","655,009","658,922","662,805","666,743","670,733","674,777","678,607"
Tuolumne County,"55,350","55,190","55,033","54,894","54,684","54,529","54,291","54,036","53,980","53,964","53,976","54,019","54,076","54,124","54,219","54,313","54,422","54,521","54,617","54,713","54,801","54,896","54,990","55,063","55,142","55,212","55,277","55,326","55,359","55,384","55,400","55,406","55,414","55,409","55,423","55,431","55,429","55,445","55,465","55,492","55,534","55,572","55,633","55,719","55,801","55,906","56,018","56,145","56,275","56,428","56,595"
Ventura County,"824,441","831,606","836,782","842,964","848,038","852,199","853,673","856,111","860,426","864,821","869,486","874,223","879,139","884,148","889,234","894,257","899,316","904,282","909,352","914,416","919,527","924,543","929,014","933,511","937,828","941,824","945,923","949,733","953,170","956,456","959,354","962,182","964,523","966,911","969,124","971,002","972,551","973,766","975,084","976,374","977,265","978,271","978,818","978,983","979,313","979,796","980,246","980,579","980,900","981,522","982,080"
Yolo County,"202,385","203,048","205,712","208,223","209,921","212,850","216,726","219,468","222,745","225,887","229,023","232,273","235,464","238,682","241,863","245,199","248,519","251,784","255,041","258,373","261,715","265,134","268,435","271,739","275,124","278,533","282,055","285,515","289,060","292,521","295,954","299,409","302,923","306,393","309,806","313,259","316,713","319,998","323,470","327,043","330,480","333,854","337,333","340,734","344,164","347,564","351,001","354,463","357,940","361,435","365,070"
Yuba County,"72,315","73,015","73,704","74,352","74,975","75,579","76,138","76,691","77,490","78,284","79,087","79,880","80,662","81,442","82,206","82,967","83,725","84,492","85,237","85,978","86,718","87,433","88,157","88,848","89,528","90,187","90,834","91,474","92,099","92,708","93,304","93,866","94,419","94,959","95,488","95,998","96,516","97,001","97,467","97,908","98,341","98,759","99,200","99,602","99,995","100,417","100,712","101,064","101,486","101,804","102,221"
"Projections Prepared by Demographic Research Unit, California Department of Finance, January 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,