County,Registered Vehicles (thousands),Unemployment Rate (percent)
Alameda,1630,4.1
Alpine,3.7,7
Amador,62,5.7
Butte,256.5,6.1
Calaveras,81,5.6
Colusa,34.1,15.1
Contra Costa,1180,3.9
Del Norte,28.4,6.7
El Dorado,254,4.5
Fresno,893,8.4
Glenn,42.4,7.5
Humboldt,166.8,5.2
Imperial,231.7,19.7
Inyo,29.4,5
Kern,845,8.9
Kings,133.8,9.9
Lake,93.6,6.4
Lassen,37.7,6.6
Los Angeles,8900,4.4
Madera,169,8.4
Marin,260,2.7
Mariposa,29.6,7.1
Mendocino,148.7,5.1
Merced,277,9.6
Modoc,13.7,7.8
Mono,20,5.5
Monterey,445,7.9
Napa,163,3.5
Nevada,150.5,4.8
Orange,3130,3.9
Placer,478,4.1
Plumas,31.8,9.3
Riverside,2250,5.3
Sacramento,1480,4.8
San Benito,75.9,6.9
San Bernardino,1.96,5.2
San Diego,3280,4.3
San Francisco,530,3.5
San Joaquin,776,7
San Luis Obispo,347,4.2
San Mateo,810,2.8
Santa Barbara,443.7,5.1
Santa Clara,1900,4.2
Santa Cruz,266.8,5.6
Shasta,239.5,6.5
Sierra,6.6,7.5
Siskiyou,69,8.3
Solano,520,4.8
Sonoma,643,2.6
Stanislaus,559,7.4
Sutter,120.1,9.1
Tehama,81.1,6.1
Trinity,23.3,7.1
Tulare,456,9.8
Tuolumne,73.8,6
Ventura,878,4.4
Yolo,210,5.4
Yuba,81.4,8