"Total Estimated and Projected Population for California and Counties: July 1, 2010 to July 1, 2060 in 5-year Increments",,,,,,,,,,,
,Estimates,,Projections,,,,,,,,
,2010,2015,2025,2030,2035,2040,2045,2050,2055,2060,
California,"37,333,583","39,059,809","42,407,005","44,019,846","45,521,334","46,884,801","48,088,425","49,158,401","50,124,768","51,056,510",
Alameda County,"1,515,338","1,619,679","1,795,390","1,878,556","1,958,389","2,032,262","2,099,569","2,159,782","2,213,971","2,265,671",
Alpine County,"1,175","1,157","1,134","1,150","1,169","1,164","1,141","1,105","1,078","1,057",
Amador County,"38,069","37,314","38,977","40,134","41,083","41,719","42,197","42,711","43,391","44,245",
Butte County,"220,157","224,363","238,546","247,339","256,042","263,642","270,612","277,512","285,290","292,892",
Calaveras County,"45,535","44,899","46,143","47,129","47,851","48,242","48,465","48,775","49,397","50,468",
Colusa County,"21,465","22,271","24,085","24,980","25,765","26,451","26,989","27,482","28,013","28,626",
Contra Costa County,"1,051,525","1,116,882","1,250,935","1,314,573","1,373,950","1,426,050","1,469,258","1,505,996","1,537,429","1,568,920",
Del Norte County,"28,387","27,119","27,467","27,775","28,062","28,309","28,553","28,773","29,082","29,550",
El Dorado County,"180,975","183,140","196,057","204,977","214,008","221,939","228,335","234,290","241,185","249,924",
Fresno County,"932,628","979,357","1,088,963","1,145,646","1,201,416","1,256,572","1,309,006","1,358,963","1,407,602","1,457,705",
Glenn County,"28,182","28,960","30,605","31,594","32,502","33,261","33,856","34,357","34,841","35,389",
Humboldt County,"134,929","135,090","140,298","141,501","142,085","141,958","141,625","141,193","140,651","140,489",
Imperial County,"175,107","185,328","208,364","220,459","232,298","243,975","255,677","267,419","278,720","290,106",
Inyo County,"18,539","18,640","19,048","19,219","19,339","19,360","19,307","19,176","18,993","18,864",
Kern County,"841,887","883,327","995,408","1,067,631","1,141,109","1,213,558","1,283,154","1,350,705","1,419,039","1,488,228",
Kings County,"152,175","149,702","162,049","170,105","178,505","187,048","195,106","202,760","209,804","217,058",
Lake County,"64,905","65,180","66,476","67,718","69,030","70,275","71,574","73,015","74,769","76,877",
Lassen County,"34,869","30,969","30,478","30,157","29,668","29,117","28,521","27,941","27,408","26,999",
Los Angeles County,"9,837,011","10,185,487","10,688,523","10,885,337","11,042,709","11,161,569","11,238,210","11,274,596","11,275,452","11,251,434",
Madera County,"150,193","154,956","174,156","186,761","199,556","212,229","224,744","237,116","249,271","262,065",
Marin County,"252,185","262,105","270,747","274,243","277,316","278,955","278,811","277,335","275,223","273,469",
Mariposa County,"18,245","18,088","18,243","18,481","18,698","18,823","18,967","19,112","19,323","19,655",
Mendocino County,"87,661","88,429","92,145","93,657","94,782","95,329","95,500","95,608","95,847","96,369",
Merced County,"256,803","269,729","305,794","326,574","348,150","369,193","389,832","410,095","430,832","452,519",
Modoc County,"9,689","9,507","9,228","9,177","9,105","8,971","8,808","8,656","8,543","8,497",
Mono County,"14,017","13,818","14,389","14,692","14,928","15,020","14,974","14,778","14,473","14,179",
Monterey County,"414,915","436,242","475,105","491,601","507,123","521,041","532,661","541,508","548,649","554,839",
Napa County,"136,237","141,546","149,471","154,107","158,238","161,795","164,541","166,634","168,466","170,408",
Nevada County,"98,517","98,190","102,549","105,732","108,910","111,421","113,423","115,821","119,222","123,679",
Orange County,"3,014,962","3,161,218","3,351,315","3,434,157","3,504,411","3,558,718","3,595,775","3,616,582","3,621,879","3,617,223",
Placer County,"350,052","370,738","424,858","454,102","482,171","507,740","530,743","551,660","572,485","594,279",
Plumas County,"19,982","19,586","19,194","19,022","18,760","18,366","17,947","17,605","17,473","17,538",
Riverside County,"2,196,137","2,329,256","2,692,006","2,863,260","3,021,572","3,165,363","3,292,187","3,406,136","3,507,769","3,602,352",
Sacramento County,"1,421,628","1,489,952","1,669,830","1,762,759","1,854,128","1,942,004","2,025,927","2,105,299","2,183,173","2,262,556",
San Benito County,"55,401","57,584","63,368","66,796","70,220","73,535","76,499","79,210","81,812","84,473",
San Bernardino County,"2,044,228","2,129,851","2,357,002","2,483,568","2,610,720","2,735,646","2,857,883","2,981,484","3,105,723","3,237,092",
San Diego County,"3,100,529","3,275,084","3,529,054","3,638,609","3,737,507","3,830,210","3,916,308","3,997,108","4,069,577","4,136,812",
San Francisco County,"809,174","863,108","945,660","981,738","1,015,352","1,047,902","1,081,493","1,117,661","1,156,570","1,196,108",
San Joaquin County,"687,827","727,547","839,665","895,240","947,929","996,379","1,040,015","1,079,902","1,116,089","1,150,034",
San Luis Obispo County,"269,013","276,844","295,019","302,323","307,467","310,367","310,573","309,424","308,155","307,681",
San Mateo County,"720,496","764,379","822,392","846,852","867,540","886,272","902,065","915,205","927,366","938,228",
Santa Barbara County,"423,552","444,900","477,699","492,495","505,338","516,163","524,590","531,252","536,043","540,508",
Santa Clara County,"1,790,301","1,915,102","2,124,780","2,230,564","2,337,470","2,443,718","2,545,513","2,640,473","2,726,922","2,810,865",
Santa Cruz County,"262,341","274,697","294,233","303,377","311,059","317,542","322,998","327,682","332,459","337,650",
Shasta County,"177,062","178,777","184,384","188,847","193,030","196,656","199,830","202,817","206,244","210,014",
Sierra County,"3,233","3,147","3,126","3,092","3,042","2,985","2,931","2,899","2,890","2,910",
Siskiyou County,"44,862","44,500","44,352","44,492","44,522","44,339","44,095","44,024","44,290","44,954",
Solano County,"412,573","429,267","482,723","509,230","534,008","556,679","576,963","595,865","614,246","633,039",
Sonoma County,"483,844","501,182","538,701","558,134","574,747","586,957","595,413","601,189","606,178","611,690",
Stanislaus County,"515,888","538,372","605,618","638,995","670,443","699,177","724,772","747,343","768,026","787,300",
Sutter County,"94,859","97,618","106,589","111,423","116,316","120,845","125,529","129,929","134,607","139,449",
Tehama County,"63,505","63,970","66,956","69,004","71,036","72,859","74,607","76,483","78,493","80,751",
Trinity County,"13,779","13,562","13,324","13,314","13,271","13,224","13,200","13,311","13,623","14,143",
Tulare County,"442,551","463,291","514,101","541,140","568,186","594,348","617,916","639,477","659,482","679,167",
Tuolumne County,"55,350","54,525","54,470","54,958","55,369","55,557","55,588","55,691","56,063","56,752",
Ventura County,"824,467","852,013","896,731","922,001","944,298","961,828","973,476","979,739","982,270","984,554",
Yolo County,"202,352","212,686","245,902","262,418","279,236","296,657","313,962","331,183","348,267","365,773",
Yuba County,"72,315","75,579","83,180","86,931","90,400","93,517","96,211","98,554","100,630","102,434",
"Projections Prepared by Demographic Research Unit, California Department of Finance, February 2017",,,,,,,,,,,
8,,,,,,,,,,,